created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 23:56:48 +0000 2023;1725301927108661598;"@gus_dibyo Ironis melihat dukungan terhadap pemimpin muda yang santun sementara tim Prabowo-Gibran terlibat dalam mencela dan memfitnah orang tua. Semoga ada introspeksi dan perbaikan sikap untuk menjaga integritas dan moralitas dalam politik.";0;0;0;0;in;1210840618789851136;1724978655863124162;710_CS;https://twitter.com/710_CS/status/1725301927108661598
Thu Nov 16 23:56:46 +0000 2023;1725301916320842237;"@arifgun4 @gibran_tweet Yauda Sok Lu aja Yg Pimpin";0;0;0;0;in;1305542543317151744;1720822357051465945;fannyzihxx;https://twitter.com/fannyzihxx/status/1725301916320842237
Thu Nov 16 23:56:44 +0000 2023;1725301907852541999;"@gibran_tweet Jo dadi eren lo mas";0;0;0;0;es;1568643948926869505;1725164989449654297;eko_okwanto;https://twitter.com/eko_okwanto/status/1725301907852541999
Thu Nov 16 23:56:42 +0000 2023;1725301902110527713;"@__AnakKolong @jokowi @gibran_tweet 👆  Ojo Kesusu, Ojo Grusa Grusu,  Nanti semuanya akan tau, Saya tidak perlu malu,  Anakku arep Melu ‼️.";0;1;0;5;in;899597703058817024;1725223631549292571;CeciliaSuwanda1;https://twitter.com/CeciliaSuwanda1/status/1725301902110527713
Thu Nov 16 23:56:37 +0000 2023;1725301879255748978;"@ajengcute16__ @prabowo @gibran_tweet Ngisin ngisini kalau ngga menang , krn bawa temen banyak, !";0;0;0;0;in;353563210;1725049271937061082;RaakezOnline;https://twitter.com/RaakezOnline/status/1725301879255748978
Thu Nov 16 23:56:25 +0000 2023;1725301829804974456;"@WyrmwoodGaming Yall doin any gaming table giveaways? https://t.co/rWYQnZnY4L";0;0;0;0;en;816512742;1725287816878322002;cgcarroll25;https://twitter.com/cgcarroll25/status/1725301829804974456
Thu Nov 16 23:56:08 +0000 2023;1725301758917062775;"@Prihati_utami @gibran_tweet Saya juga heran dan ngga nyangka aja kok nekat gitu lhoo nyalon";0;0;0;0;in;1456119784140017667;1725010094541410545;seventiepie;https://twitter.com/seventiepie/status/1725301758917062775
Thu Nov 16 23:56:04 +0000 2023;1725301741913243996;"@gibran_tweet udah mas gibran gausah di tanggepin, kita yang lain selalu dukung kok😊";0;1;0;0;in;1215559129726472198;1725039901224391025;achlyevil;https://twitter.com/achlyevil/status/1725301741913243996
Thu Nov 16 23:55:50 +0000 2023;1725301683868287192;"@XC1R3NG @prabowo @gibran_tweet Oke https://t.co/P1yxp02toy";0;0;0;0;und;1306951146527883266;1725298582738354579;Pejuang_Rupiah8;https://twitter.com/Pejuang_Rupiah8/status/1725301683868287192
Thu Nov 16 23:55:40 +0000 2023;1725301641023500355;"@KsatriaRinjani @DokterTifa @gibran_tweet Betul.. Kalau di Jerman studienkolleg.. 👍";0;0;0;1;in;186325963;1724974374544154697;dannydhe;https://twitter.com/dannydhe/status/1725301641023500355
Thu Nov 16 23:55:40 +0000 2023;1725301640469876888;"@Prihati_utami @gibran_tweet Perjalanan Mas Gibran memang mencolok, dan sekarang sebagai calon wakil presiden. Pertanyaan mengenai motivasinya yang begitu ngotot perlu jawaban, terutama dalam menghadapi kontestasi bersama Prabowo. Apakah ini sebuah rencana matang atau ada faktor lain yang belum terungkap?";0;1;0;0;in;1687539836226514944;1725010094541410545;luvluvintheair;https://twitter.com/luvluvintheair/status/1725301640469876888
Thu Nov 16 23:55:30 +0000 2023;1725301597373390932;"DELAPAN PROGRAM TERBAIK CEPAT merupakan visi-misi prioritas yg akan paling awal dilaksanakan apabila Prabowo-Gibran terpilih.  #PrabowoGibran2024  #Prabu1 @budimandjatmiko https://t.co/509DlvWPxb";0;3;12;27;in;1331503267814072320;1725301597373390932;Minietweets_;https://twitter.com/Minietweets_/status/1725301597373390932
Thu Nov 16 23:55:16 +0000 2023;1725301542465740913;"@Prihati_utami @gibran_tweet terlalu pengen sampe semua aturan ditrabas sm dia";0;0;0;0;in;1712183557941317633;1725010094541410545;champapgne;https://twitter.com/champapgne/status/1725301542465740913
Thu Nov 16 23:55:12 +0000 2023;1725301522144375075;"@Prihati_utami @gibran_tweet Saya setuju, seakan tidak adanya rasa bersalah dari Mas Gibran terkait keputusan kontroversial tersebut memunculkan pertanyaan mengapa begitu ngotot. Mungkin, kesabaran dan proses pembentukan jatidiri bisa membawa kesuksesan yang lebih bermartabat.";0;0;0;0;in;1687538607828201472;1725010094541410545;letjungcook997;https://twitter.com/letjungcook997/status/1725301522144375075
Thu Nov 16 23:55:05 +0000 2023;1725301496525545545;"@are_inismyname @gibran_tweet @Alie_Fahnoor @AlmaghribiS @azissubekti @BANGSAygSUJUD @bengkeldodo @P4P4B0W0_2024 @Ndons_Back @Royan_02 @florieliciouss @Bank_Joee_ Si Bocil Anak Haram Konstitusi 🤣🤣🤣🤣 https://t.co/ywHEUWDx1d";0;0;0;0;in;1670756586451791873;1725234587352383528;susisukambing;https://twitter.com/susisukambing/status/1725301496525545545
Thu Nov 16 23:55:02 +0000 2023;1725301481354760511;"@DokterTifa @gibran_tweet Hmmm Mulai..";0;0;0;0;in;1614841493679927296;1724974374544154697;nadi47489;https://twitter.com/nadi47489/status/1725301481354760511
Thu Nov 16 23:55:01 +0000 2023;1725301476141195541;"@Prihati_utami @gibran_tweet Menarik untuk melihat perjalanan Mas Gibran dalam kontestasi Pilpres 2024. Namun, pertanyaan mengenai keinginannya yang begitu ngebet menjadi wakil presiden, terutama setelah keputusan di MK yang menciptakan kontroversi, tetap menggantung tanpa jawaban pasti.";0;0;0;0;in;1665866561276760065;1725010094541410545;ytsayangku;https://twitter.com/ytsayangku/status/1725301476141195541
Thu Nov 16 23:54:49 +0000 2023;1725301425457225890;"@Prihati_utami @gibran_tweet Pasti ada cerita seru dibalik itu semua, filling sy sih ada misteri dibalik layar..";0;1;0;0;in;235792781;1725010094541410545;Kopi_Hitam2022;https://twitter.com/Kopi_Hitam2022/status/1725301425457225890
Thu Nov 16 23:54:45 +0000 2023;1725301412480098578;"@TeddGus @prabowo @gibran_tweet Dikit amat om, Kenapa harus Gibran?! Kalau bisa meyakinkan saya, saya kasih 100jt.";0;0;0;0;in;86311144;1724993777696444604;madrid_jkt58;https://twitter.com/madrid_jkt58/status/1725301412480098578
Thu Nov 16 23:54:39 +0000 2023;1725301387385548814;"@Prihati_utami @gibran_tweet Karena sebagian besar politisi kita memanfaatkan ajimumpung, lalu menerapkan adigang adigung Adiguna. Disini saya memposisikan Mas @gibran_tweet sebagai politisi. Bagi politisi, berbuat kesalahan adalah kewajaran.";0;0;0;0;in;1254764916835155968;1725010094541410545;invikshaki;https://twitter.com/invikshaki/status/1725301387385548814
Thu Nov 16 23:54:39 +0000 2023;1725301384038523373;"@gibran_tweet gausa di dengerin massss org gitu emng gitu";0;0;0;0;in;1672247677436985345;1720827289662091387;whoisvnus;https://twitter.com/whoisvnus/status/1725301384038523373
